"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
70,43,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"5% HCl","5% HCl"
71,44,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"60% Acetic Acid (HAc)","60% Acetic Acid (HAc)"
72,45,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"7.5% HCl","7.5% HCl"
73,46,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,"85% Formic Acid","85% Formic Acid"
76,47,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Gel Chem,Gel Chem
85,48,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Produced Water,Produced Water
87,49,1,"0","",2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Frac Fluid,Frac Fluid
88,50,1,"1281",mge,2008-07-07 09:16:06,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Invert Mud,Invert Mud
91,51,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,iGain(AB),iGain(AB)
93,52,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,iBond,iBond
95,53,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,iPrime (AB),iPrime (AB)
108,54,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,LCS 1820,LCS 1820
110,55,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Proteus Pro,Proteus Pro
111,56,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Proteus Core,Proteus Core
113,57,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,SanSeal,SanSeal
114,58,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,SanSeal HT,SanSeal HT
115,59,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,ASC IV,ASC IV
123,60,1,"15112",Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,LCS 1600,LCS 1600
141,61,1,"154277",KMaher,2014-11-04 13:40:18,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Proteus LCS,Proteus LCS
142,62,1,"154277",KMaher,2014-11-04 13:40:29,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SURFACEmix SLW,SURFACEmix SLW
143,63,1,"154277",KMaher,2014-11-04 13:40:40,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,THERMAmix EC,THERMAmix EC
144,64,1,"154277",KMaher,2014-11-04 13:40:51,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,LITEmix 1400,LITEmix 1400
145,65,1,"154277",KMaher,2014-11-04 13:41:02,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,LITEmix 1325,LITEmix 1325
146,66,1,"154277",KMaher,2014-11-04 13:41:12,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,SUPERLITEmix 1200,SUPERLITEmix 1200
150,67,1,"154277",KMaher,2014-11-04 13:41:56,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Ciment Fondue,Ciment Fondue
152,68,1,"1000342",pdoeleman,2014-11-06 13:11:16,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Class A Cement,Class A Cement
153,69,1,"1000342",pdoeleman,2014-11-06 13:11:31,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Class C Cement,Class C Cement
154,70,1,"1000342",pdoeleman,2014-11-06 13:11:48,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,0,Class G Cement,Class G Cement
