"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description","IsThirdPartyProvided","IsFreightCostIncluded","PriceCode","InventoryNumber"
44,39,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Graphite,Graphite,0,0,113423,IIN023101
45,40,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,GSS-1,GSS-1,0,0,113139,IIN023022
46,41,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Hematite,Hematite,0,0,113232,IIN023105
47,42,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,HTR,HTR,0,0,113115,IIN023109
48,43,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,HTR-2,HTR-2,0,0,113129,IIN041176
49,44,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,HTR-3,HTR-3,0,0,113142,IIN023129
50,45,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,HTR-3A,HTR-3A,0,0,113143,IIN023130
52,46,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,KCl,KCl,0,0,113105,IIN023119
53,47,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCC-1,LCC-1,0,0,113248,IIN023122
54,48,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCC-9,LCC-9,0,0,113251,""
55,49,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCF-7,LCF-7,0,0,113250,IIN049713
56,50,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCG-1,LCG-1,0,0,113237,IIN023049
58,51,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCG-2,LCG-2,0,0,113238,IIN023050
59,52,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCG-4,LCG-4,0,0,113239,IIN023051
60,53,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LCG-5,LCG-5,0,0,113240,IIN023052
62,54,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LTR,LTR,0,0,113110,IIN023146
63,55,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,LTR-3,LTR-3,0,0,,IIN023209
64,56,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,MCR-5,MCR-5,0,0,113128,IIN023110
65,57,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,MCR-7,MCR-7,0,0,113127,IIN054776
66,58,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Micromix,Micromix,0,0,,IIN023153
67,59,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,NaCl,Fine Salt,0,0,113103,IIN023188
69,60,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,QSR-2,QSR-2,0,0,113122,IIN023178
70,61,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Sand,Sand,0,0,,IIN053761
71,62,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Sanlite,Sanlite,0,0,,IIN023190
72,63,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Sanseal,Sanseal,0,0,113117,IIN023192
73,64,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SCA-1,SCA-1,0,0,113301,IIN023102
74,65,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SCA-5,SCA-5,0,0,113305,IIN023171
75,66,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SCA-6,SCA-6,0,0,113306,IIN023207
76,67,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SCA-7,SCA-7,0,0,113307,IIN023147
77,68,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SG1500 AP1,SG1500 AP1,0,0,,IIN023200
78,69,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Silica Flour - 200 Mesh,Silica Flour  - 200 Mesh,0,0,113296,IIN054769
79,70,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,Silica Fume - Semi-Densified,Silica Fume - Semi-Densified,0,0,,IIN023098
80,71,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,SPC-II,SPC-II,0,0,113220,IIN023212
81,72,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,WIE-1,WIE-1,0,0,116416,IIN049712
82,73,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:0 'A'","0:1:0 'A'",0,0,113049,""
83,74,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:0 'C'","0:1:0 'C'",0,0,,""
84,75,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:0 'G'","0:1:0 'G'",0,0,113000,""
85,76,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:12 'G'","0:1:12 'G'",0,0,113000,""
86,77,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:2 'G'","0:1:2 'G'",0,0,113000,""
87,78,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:4 'G'","0:1:4 'G'",0,0,113000,""
88,79,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:6 'G'","0:1:6 'G'",0,0,113000,""
89,80,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"0:1:8 'G'","0:1:8 'G'",0,0,113000,""
90,81,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:0 'G'","1:1:0 'G'",0,0,113002,""
91,82,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:0 'G' (Sask)","1:1:0 'G' (Sask)",0,0,113002,""
92,83,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:12 'G'","1:1:12 'G'",0,0,113002,""
93,84,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:12 'G' (Sask)","1:1:12 'G' (Sask)",0,0,113002,""
94,85,1,"0","",2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,0,"1:1:2 'G'","1:1:2 'G'",0,0,113002,""
