"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","Name","Description","BlendChemicalName","Abbreviation","BlendRecipeName","BlendRecipeDescription","BlendChemicalDescription","IsBaseBlend","BlendRecipeId","AdditionMethod","UnitSystemId","AdditiveBlendMethod","UnitId","UnitDescription","UnitName","BlendChemicalSystemId","BlendRecipeSystemId","BlendChemicalId","Amount"
225,221,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,62,,,Class C,%,PRODUCTIONmix LW (Sask),,"",1,62,2,81,1,1,,Percent,2,62,2,641.00
252,248,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,71,,,Class C,%,Superlite 13,,"",1,71,2,81,1,1,,Percent,2,71,2,533.00
256,252,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,72,,,Class C,%,Superlite 13 (CDM-5),,"",1,72,2,81,1,1,,Percent,2,72,2,559.00
265,261,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,74,,,Class C,%,SUPERLITEmix PRO ,,"",1,74,2,81,1,1,,Percent,2,74,2,520.00
276,272,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,77,,,Class C,%,SURFACEmix LW PRO (SK) ,,"",1,77,2,81,1,1,,Percent,2,77,2,641.00
280,276,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,78,,,Class C,%,SURFACEmix PRO,,"",1,78,2,81,1,1,,Percent,2,78,2,996.00
282,278,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,79,,,Class C,%,SURFACEmix PRO SL,,"",1,79,2,81,1,1,,Percent,2,79,2,761.00
285,281,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,80,,,Class C,%,SURFACEmix SLW,,"",1,80,2,81,1,1,,Percent,2,80,2,858.00
260,256,1,"0","",2018-09-28 18:10:52,1,2017-09-28 18:10:52,9999-12-31 23:59:59,0,73,,,Class G,%,SUPERLITEmix PRO HT ,,"",1,73,2,81,1,1,,Percent,3,73,3,484.00
229,225,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,63,,,Class G,%,PRODUCTIONmix THX ,,"",1,63,2,81,1,1,,Percent,3,63,3,569.00
246,242,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,67,,,Class G,%,RAS II,,"",1,67,2,81,1,1,,Percent,3,67,3,200.00
190,186,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,54,,,Class G,%,LITEmix EC,,"",1,54,2,81,1,1,,Percent,3,54,3,1000.00
149,145,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,48,,,Class G,%,LCS 1600,,"",1,48,2,81,1,1,,Percent,3,48,3,673.00
153,149,1,"0","",2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,49,,,Class G,%,LCS 1820,,"",1,49,2,81,1,1,,Percent,3,49,3,865.00
3,3,1,"0","",2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,3,,,Class G,%,"0:1:0 'G'",,"",1,3,2,81,1,1,,Percent,3,3,3,1000.00
70,66,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,33,,,Class G,%,ASC IV,,"",1,33,2,81,1,1,,Percent,3,33,3,500.00
73,69,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,34,,,Class G,%,Expandomix,,"",1,34,2,81,1,1,,Percent,3,34,3,918.00
77,73,1,"0","",2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,35,,,Class G,%,EXPANDOmix PRO HT,,"",1,35,2,81,1,1,,Percent,3,35,3,520.00
