"id","system_id","version","modified_user_id","modified_user_name","modified_datetime","operation_type","effective_start_datetime","effective_end_datetime","entity_status","owner_id","name","description"
1,1,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Metric,
2,2,1,"0",,2008-03-20 15:21:11,,2016-06-01 00:00:00,9999-12-31 00:00:00,0,0,Imperial,
