ID,SYSTEM_ID,Version,MODIFIED_USER_ID,MODIFIED_USER_NAME,MODIFIED_DATE_TIME,OPERATION_TYPE,EFFECTIVE_START_DATETIME,EFFECTIVE_END_DATETIME,ENTITY_STATUS,InventoryNumber,SbsReleaseProductId,PriceUnit,UnitId,Price,ServicePoint
44,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.21,D604
45,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.13,D606
46,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.2,D607
47,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.15,D612
48,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.31,D615
49,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023050,,1,kg,0.25,D616
50,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.23,D602
51,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.39,D604
52,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.1,D606
53,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.2,D607
54,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.1,D612
55,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023052,,1,kg,0.25,D617
56,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.55,D600
57,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.55,D602
58,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.57,D603
59,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.56,D604
60,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.45,D606
61,,1,0,,2018-09-10 12:01:06,1,2018-09-10 12:01:06,9999-12-31 23:59:59,0,IIN023054,,1,kg,0.48,D607
