"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","Amount","AdditiveBlendMethod","RootId","BlendChemicalId","BlendChemicalSystemId","IsBaseBlend","MeasureUnitId","BlendRecipe1Id","BlendRecipeSystemId","AdditionMethod","ParentId"
45,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,80,1,20,41,41,0,1,20,20,1,20
46,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,435,1,21,78,78,1,1,21,21,2,21
47,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,565,1,21,35,35,0,1,21,21,2,21
48,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,392,1,22,78,78,1,1,22,22,2,22
49,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,608,1,22,36,36,0,1,22,22,2,22
50,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,23,96,96,1,1,23,23,1,23
51,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,120,1,23,41,41,0,1,23,23,1,23
52,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,24,97,97,1,1,24,24,1,24
53,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,120,1,24,41,41,0,1,24,24,1,24
54,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,25,96,96,1,1,25,25,1,25
55,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,20,1,25,41,41,0,1,25,25,1,25
56,"",1,0,,2018-09-28 18:10:49,1,2017-09-28 18:10:49,9999-12-31 23:59:59,0,1000,1,26,97,97,1,1,26,26,1,26
57,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,20,1,26,41,41,0,1,26,26,1,26
58,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,27,96,96,1,1,27,27,1,27
59,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,1,27,41,41,0,1,27,27,1,27
60,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,28,97,97,1,1,28,28,1,28
61,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,1,28,41,41,0,1,28,28,1,28
62,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,29,96,96,1,1,29,29,1,29
63,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,60,1,29,41,41,0,1,29,29,1,29
64,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,30,97,97,1,1,30,30,1,30
65,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,60,1,30,41,41,0,1,30,30,1,30
66,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,31,96,96,1,1,31,31,1,31
67,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,80,1,31,41,41,0,1,31,31,1,31
68,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1000,1,32,97,97,1,1,32,32,1,32
69,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,80,1,32,41,41,0,1,32,32,1,32
70,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,500,1,33,3,3,1,1,33,33,2,33
71,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,125,1,33,53,53,0,1,33,33,2,33
72,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,375,1,33,51,51,0,1,33,33,2,33
73,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,918,1,34,3,3,1,1,34,34,2,34
74,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,18,1,34,41,41,0,1,34,34,2,34
75,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,55,1,34,67,67,0,1,34,34,2,34
76,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,9,1,34,32,32,0,1,34,34,2,34
77,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,520,1,35,3,3,1,1,35,35,2,35
78,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,315,1,35,35,35,0,1,35,35,2,35
79,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,100,1,35,30,30,0,1,35,35,2,35
80,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,21,1,35,41,41,0,1,35,35,2,35
81,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,14,1,35,67,67,0,1,35,35,2,35
82,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,30,1,35,31,31,0,1,35,35,2,35
83,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,520,1,36,3,3,1,1,36,36,2,36
84,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,315,1,36,36,36,0,1,36,36,2,36
85,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,100,1,36,30,30,0,1,36,36,2,36
86,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,21,1,36,41,41,0,1,36,36,2,36
87,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,14,1,36,67,67,0,1,36,36,2,36
88,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,30,1,36,31,31,0,1,36,36,2,36
89,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,530,1,37,3,3,1,1,37,37,2,37
90,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,325,1,37,35,35,0,1,37,37,2,37
91,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,100,1,37,30,30,0,1,37,37,2,37
92,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,21,1,37,41,41,0,1,37,37,2,37
93,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,14,1,37,67,67,0,1,37,37,2,37
94,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,10,1,37,32,32,0,1,37,37,2,37
95,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,530,1,38,3,3,1,1,38,38,2,38
96,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,325,1,38,36,36,0,1,38,38,2,38
97,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,100,1,38,30,30,0,1,38,38,2,38
98,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,21,1,38,41,41,0,1,38,38,2,38
99,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,14,1,38,67,67,0,1,38,38,2,38
100,"",1,0,,2018-09-28 18:10:54,1,2017-09-28 18:10:54,9999-12-31 23:59:59,0,10,1,38,32,32,0,1,38,38,2,38
101,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,593,1,39,3,3,1,1,39,39,2,39
102,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,327,1,39,35,35,0,1,39,39,2,39
103,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,30,1,39,30,30,0,1,39,39,2,39
104,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,5,1,39,27,27,0,1,39,39,2,39
105,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,5,1,39,20,20,0,1,39,39,2,39
106,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,1,39,31,31,0,1,39,39,2,39
107,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,593,1,40,3,3,1,1,40,40,2,40
108,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,327,1,40,36,36,0,1,40,40,2,40
109,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,30,1,40,30,30,0,1,40,40,2,40
110,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,5,1,40,27,27,0,1,40,40,2,40
111,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,5,1,40,20,20,0,1,40,40,2,40
112,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,40,1,40,31,31,0,1,40,40,2,40
113,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,915.5,1,41,3,3,1,1,41,41,2,41
114,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,18,1,41,41,41,0,1,41,41,2,41
115,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,55,1,41,67,67,0,1,41,41,2,41
116,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,2.5,1,41,20,20,0,1,41,41,2,41
117,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,9,1,41,32,32,0,1,41,41,2,41
118,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,369,1,42,3,3,1,1,42,42,2,42
119,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,582,1,42,67,67,0,1,42,42,2,42
120,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,5,1,42,26,26,0,1,42,42,2,42
121,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1,1,42,58,58,0,1,42,42,2,42
122,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,43,1,42,62,62,0,1,42,42,2,42
123,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,979,1,43,4,4,1,1,43,43,2,43
124,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,10,1,43,67,67,0,1,43,43,2,43
125,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1,1,43,28,28,0,1,43,43,2,43
126,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,3,1,43,20,20,0,1,43,43,2,43
127,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,7,1,43,32,32,0,1,43,43,2,43
128,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,758,1,44,4,4,1,1,44,44,2,44
129,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,197.5,1,44,36,36,0,1,44,44,2,44
130,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,11,1,44,41,41,0,1,44,44,2,44
131,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,11,1,44,67,67,0,1,44,44,2,44
132,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,22.5,1,44,71,71,0,1,44,44,2,44
133,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,727.5,1,45,4,4,1,1,45,45,2,45
134,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,218,1,45,35,35,0,1,45,45,2,45
135,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,8,1,45,41,41,0,1,45,45,2,45
136,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,3,1,45,20,20,0,1,45,45,2,45
137,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,14.5,1,45,69,69,0,1,45,45,2,45
138,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,29,1,45,68,68,0,1,45,45,2,45
139,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,760,1,46,4,4,1,1,46,46,2,46
140,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,225,1,46,35,35,0,1,46,46,2,46
141,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,10,1,46,67,67,0,1,46,46,2,46
142,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1,1,46,28,28,0,1,46,46,2,46
143,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,4,1,46,20,20,0,1,46,46,2,46
144,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,760,1,47,4,4,1,1,47,47,2,47
145,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,225,1,47,36,36,0,1,47,47,2,47
146,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,10,1,47,67,67,0,1,47,47,2,47
147,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,1,1,47,28,28,0,1,47,47,2,47
148,"",1,0,,2018-09-28 18:10:50,1,2017-09-28 18:10:50,9999-12-31 23:59:59,0,4,1,47,20,20,0,1,47,47,2,47
149,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,673,1,48,3,3,1,1,48,48,2,48
150,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,200,1,48,36,36,0,1,48,48,2,48
151,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,27,1,48,41,41,0,1,48,48,2,48
152,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,100,1,48,18,18,0,1,48,48,2,48
153,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,865,1,49,3,3,1,1,49,49,2,49
154,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,17,1,49,41,41,0,1,49,49,2,49
155,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,80,1,49,67,67,0,1,49,49,2,49
156,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,29,1,49,8,8,0,1,49,49,2,49
157,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,9,1,49,32,32,0,1,49,49,2,49
158,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,553,1,50,4,4,1,1,50,50,2,50
159,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,276,1,50,35,35,0,1,50,50,2,50
160,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,56,1,50,30,30,0,1,50,50,2,50
161,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,17,1,50,41,41,0,1,50,50,2,50
162,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,41,1,50,67,67,0,1,50,50,2,50
163,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,50,69,69,0,1,50,50,2,50
164,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,50,70,70,0,1,50,50,2,50
165,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,50,68,68,0,1,50,50,2,50
166,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,553,1,51,4,4,1,1,51,51,2,51
167,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,276,1,51,36,36,0,1,51,51,2,51
168,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,56,1,51,30,30,0,1,51,51,2,51
169,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,17,1,51,41,41,0,1,51,51,2,51
170,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,41,1,51,67,67,0,1,51,51,2,51
171,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,51,69,69,0,1,51,51,2,51
172,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,51,70,70,0,1,51,51,2,51
173,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,19,1,51,68,68,0,1,51,51,2,51
174,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,596,1,52,4,4,1,1,52,52,2,52
175,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,298,1,52,35,35,0,1,52,52,2,52
176,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,30,1,52,30,30,0,1,52,52,2,52
177,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,17,1,52,41,41,0,1,52,52,2,52
178,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,29,1,52,67,67,0,1,52,52,2,52
179,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,10,1,52,69,69,0,1,52,52,2,52
180,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,10,1,52,70,70,0,1,52,52,2,52
181,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,10,1,52,68,68,0,1,52,52,2,52
182,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,596,1,53,4,4,1,1,53,53,2,53
183,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,298,1,53,36,36,0,1,53,53,2,53
184,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,30,1,53,30,30,0,1,53,53,2,53
185,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,17,1,53,41,41,0,1,53,53,2,53
186,"",1,0,,2018-09-28 18:10:51,1,2017-09-28 18:10:51,9999-12-31 23:59:59,0,29,1,53,67,67,0,1,53,53,2,53
