"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION","PriceCode","ISFREIGHTCOSTINCLUDED","ISTHIRDPARTYPROVIDED","INVENTORYNUMBER","SbsReleasedProductId"
44,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Graphite,Graphite,113423,0,0,IIN023101,""
45,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,GSS-1,GSS-1,113139,0,0,IIN023022,""
46,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Hematite,Hematite,113232,0,0,IIN023105,""
47,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,HTR,HTR,113115,0,0,IIN023109,""
48,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,HTR-2,HTR-2,113129,0,0,IIN041176,""
49,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,HTR-3,HTR-3,113142,0,0,IIN023129,""
50,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,HTR-3A,HTR-3A,113143,0,0,IIN023130,""
52,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,KCl,KCl,113105,0,0,IIN023119,""
53,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCC-1,LCC-1,113248,0,0,IIN023122,""
54,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCC-9,LCC-9,113251,0,0,,""
55,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCF-7,LCF-7,113250,0,0,IIN049713,""
56,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCG-1,LCG-1,113237,0,0,IIN023049,""
58,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCG-2,LCG-2,113238,0,0,IIN023050,""
59,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCG-4,LCG-4,113239,0,0,IIN023051,""
60,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LCG-5,LCG-5,113240,0,0,IIN023052,""
62,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LTR,LTR,113110,0,0,IIN023146,""
63,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,LTR-3,LTR-3,,0,0,IIN023209,""
64,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,MCR-5,MCR-5,113128,0,0,IIN023110,""
65,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,MCR-7,MCR-7,113127,0,0,IIN054776,""
66,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Micromix,Micromix,,0,0,IIN023153,""
67,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,NaCl,Fine Salt,113103,0,0,IIN023188,""
69,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,QSR-2,QSR-2,113122,0,0,IIN023178,""
70,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Sand,Sand,,0,0,IIN053761,""
71,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Sanlite,Sanlite,,0,0,IIN023190,""
72,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Sanseal,Sanseal,113117,0,0,IIN023192,""
73,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SCA-1,SCA-1,113301,0,0,IIN023102,""
74,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SCA-5,SCA-5,113305,0,0,IIN023171,""
75,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SCA-6,SCA-6,113306,0,0,IIN023207,""
76,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SCA-7,SCA-7,113307,0,0,IIN023147,""
77,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SG1500 AP1,SG1500 AP1,,0,0,IIN023200,""
78,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Silica Flour - 200 Mesh,Silica Flour  - 200 Mesh,113296,0,0,IIN054769,""
79,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,Silica Fume - Semi-Densified,Silica Fume - Semi-Densified,,0,0,IIN023098,""
80,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,SPC-II,SPC-II,113220,0,0,IIN023212,""
81,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,WIE-1,WIE-1,116416,0,0,IIN049712,""
82,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:0 'A'","0:1:0 'A'",113049,0,0,,""
83,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:0 'C'","0:1:0 'C'",,0,0,,""
84,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:0 'G'","0:1:0 'G'",113000,0,0,,""
85,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:12 'G'","0:1:12 'G'",113000,0,0,,""
86,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:2 'G'","0:1:2 'G'",113000,0,0,,""
87,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:4 'G'","0:1:4 'G'",113000,0,0,,""
88,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:6 'G'","0:1:6 'G'",113000,0,0,,""
89,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"0:1:8 'G'","0:1:8 'G'",113000,0,0,,""
90,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:0 'G'","1:1:0 'G'",113002,0,0,,""
91,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:0 'G' (Sask)","1:1:0 'G' (Sask)",113002,0,0,,""
92,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:12 'G'","1:1:12 'G'",113002,0,0,,""
93,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:12 'G' (Sask)","1:1:12 'G' (Sask)",113002,0,0,,""
94,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:2 'G'","1:1:2 'G'",113002,0,0,,""
95,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:2 'G' (Sask)","1:1:2 'G' (Sask)",113002,0,0,,""
96,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:4 'G'","1:1:4 'G'",113002,0,0,,""
97,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:4 'G' (Sask)","1:1:4 'G' (Sask)",113002,0,0,,""
98,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:6 'G'","1:1:6 'G'",113002,0,0,,""
99,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:6 'G' (Sask)","1:1:6 'G' (Sask)",113002,0,0,,""
100,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:8 'G'","1:1:8 'G'",113002,0,0,,""
101,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"1:1:8 'G' (Sask)","1:1:8 'G' (Sask)",113002,0,0,,""
102,"",1,0,,2018-09-28 18:10:38,1,2017-09-28 18:10:38,9999-12-31 23:59:59,0,"2:1:0 'G'","2:1:0 'G'",,0,0,,""
