"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION"
1,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,,
12,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ACW-4,ACW-4
13,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,AD-6,AD-6
14,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,AF-2,AF-2
15,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,AI-6,AI-6
16,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Al-1,Al-1
17,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Al-3,Al-3
18,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Al-5,Al-5
19,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Ammonium Bifluoride (ABF),Ammonium Bifluoride (ABF)
20,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Ammonium Chloride ,Ammonium Chloride 
21,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Aqueous Ammonia,Aqueous Ammonia
22,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ARC,ARC
23,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ASA-3,ASA-3
24,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ASA-7,ASA-7
25,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ASC,ASC
26,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ASM-4,ASM-4
27,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Barite,Barite
28,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,BE-1,BE-1
29,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Benzoic Acid (oil soluble),Benzoic Acid (oil soluble)
30,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Breaker - F,Breaker - F
31,"",1,29747,awang,2018-03-28 17:01:55,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,CaCO3,CaCO3
32,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,CaCl2,CaCl2
33,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Caustic Soda,Caustic Soda
34,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,CelloFlake,CelloFlake
35,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,CFL-1,CFL-1
