"ID","SYSTEM_ID","version","MODIFIED_USER_ID","MODIFIED_USER_NAME","MODIFIED_DATE_TIME","OPERATION_TYPE","EFFECTIVE_START_DATETIME","EFFECTIVE_END_DATETIME","ENTITY_STATUS","NAME","DESCRIPTION"
71,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"60% Acetic Acid (HAc)","60% Acetic Acid (HAc)"
72,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"7.5% HCl","7.5% HCl"
73,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,"85% Formic Acid","85% Formic Acid"
76,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Gel Chem,Gel Chem
85,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Produced Water,Produced Water
87,"",1,0,,2008-03-20 15:21:11,0,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Frac Fluid,Frac Fluid
88,"",1,1281,mge,2008-07-07 09:16:06,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Invert Mud,Invert Mud
91,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,iGain(AB),iGain(AB)
93,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,iBond,iBond
95,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 23:59:59,0,iPrime (AB),iPrime (AB)
108,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,LCS 1820,LCS 1820
110,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Proteus Pro,Proteus Pro
111,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,Proteus Core,Proteus Core
113,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,SanSeal,SanSeal
114,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,SanSeal HT,SanSeal HT
115,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,ASC IV,ASC IV
123,"",1,15112,Awang,2017-01-16 00:00:00,3,2016-06-01 00:00:00,9999-12-31 00:00:00,0,LCS 1600,LCS 1600
141,"",1,154277,KMaher,2014-11-04 13:40:18,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Proteus LCS,Proteus LCS
142,"",1,154277,KMaher,2014-11-04 13:40:29,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SURFACEmix SLW,SURFACEmix SLW
143,"",1,154277,KMaher,2014-11-04 13:40:40,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,THERMAmix EC,THERMAmix EC
144,"",1,154277,KMaher,2014-11-04 13:40:51,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,LITEmix 1400,LITEmix 1400
145,"",1,154277,KMaher,2014-11-04 13:41:02,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,LITEmix 1325,LITEmix 1325
146,"",1,154277,KMaher,2014-11-04 13:41:12,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,SUPERLITEmix 1200,SUPERLITEmix 1200
150,"",1,154277,KMaher,2014-11-04 13:41:56,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Ciment Fondue,Ciment Fondue
152,"",1,1000342,pdoeleman,2014-11-06 13:11:16,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Class A Cement,Class A Cement
153,"",1,1000342,pdoeleman,2014-11-06 13:11:31,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Class C Cement,Class C Cement
154,"",1,1000342,pdoeleman,2014-11-06 13:11:48,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Class G Cement,Class G Cement
185,"",1,1000342,pdoeleman,2014-11-06 13:57:24,1,2016-06-01 00:00:00,9999-12-31 23:59:59,0,Micromix,Micromix
186,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"0:1:6 'G'","0:1:6 'G'"
187,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:0 'G' (Sask)","1:1:0 'G' (Sask)"
188,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:12 'G' (Sask)","1:1:12 'G' (Sask)"
189,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:2 'G' (Sask)","1:1:2 'G' (Sask)"
190,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:4 'G' (Sask)","1:1:4 'G' (Sask)"
191,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:6 'G' (Sask)","1:1:6 'G' (Sask)"
192,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"1:1:8 'G' (Sask)","1:1:8 'G' (Sask)"
193,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:0 'G' (Sask)","2:1:0 'G' (Sask)"
194,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:12 'G' (Sask)","2:1:12 'G' (Sask)"
195,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:2 'G'","2:1:2 'G'"
196,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:2 'G' (Sask)","2:1:2 'G' (Sask)"
197,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:4 'G'","2:1:4 'G'"
198,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:4 'G' (Sask)","2:1:4 'G' (Sask)"
199,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:6 'G'","2:1:6 'G'"
200,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:6 'G' (Sask)","2:1:6 'G' (Sask)"
201,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:8 'G'","2:1:8 'G'"
202,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,"2:1:8 'G' (Sask)","2:1:8 'G' (Sask)"
205,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,Expandomix HT (SK),Expandomix HT (SK)
206,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,iGain (SK),iGain (SK)
207,"",1,29747,awang,2017-05-29 11:12:19,3,2001-01-01 00:00:00,9999-12-31 00:00:00,0,iPrime (SK),iPrime (SK)
209,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,LITEmix 1325 (AB),LITEmix 1325 (AB)
210,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,LITEmix 1325 (SK),LITEmix 1325 (SK)
211,"",1,15112,Awang,2017-02-15 12:49:05,0,2001-01-01 00:00:00,9999-12-31 00:00:00,0,LITEmix 1400 (AB),LITEmix 1400 (AB)
