EXPANDOmix PRO LT,NULL,0.65980567,1.03737855,2.64849531,1600,NULL
EXPANDOmix PRO HT,NULL,0.66826717,1.04266698,2.67094153,1600,NULL
Expandomix,NULL,0.56833154,0.88606302,3.14731169,1770,1420
ASC IV,NULL,0.54584816,0.8833418,2.9630188,1750,1350
2:1:0 'G' (Sask),NULL,0.59528317,0.9674246,2.68715042,1649,1360
2:1:0 'G',NULL,0.51053278,0.91602958,2.46611071,1649,1160
1:1:0 'G' (Sask),NULL,0.53985477,0.8952644,2.81365477,1720,1350
1:1:0 'G',NULL,0.49202432,0.867456,2.66360047,1720,1290
0:1:0 'G',NULL,0.44805925,0.76173553,3.18800006,1901,1440
0:1:0 'C',NULL,0.567122994,0.88040614,3.19200008,1780,1510
Ciment Fondue,NULL,0.679,1.017,2.95857988,1650,NULL
Ciment Fondue EC,NULL,0,1.862,1.593,1160,NULL
PRODUCTIONmix HZ,NULL,0.8,1.205,2.4691358,1494,NULL
SURFACEmix LW PRO LLD,NULL,0.776,1.146,2.07027027,1550,NULL
SURFACEmix LW PRO RD,NULL,0.81,1.168,2.79329609,1550,NULL
SURFACEmix LW PRO GP,NULL,0.81,1.168,2.79329609,1550,NULL
SURFACEmix LW PRO ED,NULL,0.81,1.168,2.79329609,1550,NULL
SURFACEmix PRO FJ,NULL,0.654,0.973,3.13479624,1700,NULL
SURFACEmix PRO GP,NULL,0.627,0.957,3.03030303,1700,NULL
SURFACEmix PRO RD,NULL,0.627,0.957,3.03030303,1700,NULL
SURFACEmix PRO ED,NULL,0.627,0.957,3.03030303,1700,NULL
Visweep DM,NULL,0,0,1.06,0,NULL
SUPERLITEmix 1160 C,NULL,0,1.862,1.593,1160,NULL
WELLBLOCK 'T',NULL,0,0,1.06,0,NULL
BORAjel,NULL,0,0,1.06,0,NULL
Wellseal G,NULL,0,0,1.06,0,NULL
EXPANDOmix PRO LT (SK),NULL,0.71731283,1.07332052,2.80892809,1600,NULL
EXPANDOmix PRO HT (SK),NULL,0.72400488,1.07750305,2.82886896,1600,NULL
Scavenger,NULL,0,0,1,0,NULL
0:1:8 'G',NULL,0.87351318,1.21866075,2.89731143,1603,1440
0:1:6 'G',NULL,0.7478858,1.08516554,2.96489792,1666,1440
0:1:4 'G',NULL,0.66026505,0.98967698,3.03571276,1718,1440
0:1:2 'G',NULL,0.55591305,0.87745715,3.10999331,1796,1440
0:1:12 'G',NULL,1.08505353,1.44593674,2.77097956,1525,1440
1:1:12 'G',NULL,1.14095198,1.56359058,2.36608772,1446,1290
1:1:12 'G' (Sask),NULL,1.20586651,1.60848306,2.48375284,1446,1350
1:1:2 'G',NULL,0.60230499,0.98560449,2.60892592,1646,1290
