LTR,NULL,0,0,1.273,0,500.3
LCG-5,NULL,0,0,2.724,0,1471
LCG-4,NULL,0,0,2.7151,0,1554
LCG-2,NULL,0,0,2.7644,0,972
LCG-1,NULL,0,0,2.7688,0,1284
LCF-7,NULL,0,0,1.0673,0,90
LCC-9,NULL,0,0,2.49,0,NULL
LCC-1,NULL,0,0,1.9015,0,1070
HTR-3A,NULL,0,0,1.7673,0,1028.85
HTR-3,NULL,0,0,1.42,0,NULL
HTR-2,NULL,0,0,2.2968,0,858.1
HTR,NULL,0,0,1.26,0,576
Hematite,NULL,0,0,5.02,0,1963
GSS-1,NULL,0,0,2.542,0,788.1
Graphite,NULL,0,0,2.5271,0,NULL
GCA-1,NULL,0,0,2.151,0,1205.2
FWC-2,NULL,0,0,2.353,0,321.3
FS-1,NULL,0,0,1.07000005245209,0,NULL
EA-3,NULL,0,0,3.054,0,1389
EA-1,NULL,0,0,3.75,0,1305
Ciment Fondue,NULL,0.679,1.017,2.95857988,1650,NULL
CFR-5,NULL,0,0,1.015,0,428
CFR-2,NULL,0,0,1.38,0,637
CFR,NULL,0,0,1.377,0,690
CFL-8,NULL,0,0,1.504,0,518
CFL-7,NULL,0,0,1.582,0,743
CFL-6,NULL,0,0,1.288,0,531
CFL-4,NULL,0,0,1.4,0,334
CFL-3L,NULL,0,0,0.949999988079071,0,NULL
CFL-3,NULL,0,0,1.287,0,582
CFL-10,NULL,0,0,1.504,0,510.15
CDM-C,NULL,0,0,1.2,0,NULL
CDM-6,NULL,0,0,0.54,0,252.6
CDM-5,NULL,0,0,0.38,0,179
CDM-4,NULL,0,0,0.2761,0,NULL
CDM-2,NULL,0,0,0.32,0,NULL
CDF-6P,NULL,0,0,1.6951,0,483.3
CaCl2,NULL,0,0,2.191,0,765
ASM-5,NULL,0,0,1.321,0,656.9
ASM-3,NULL,0,0,2.519,0,920.45
ACW-4,NULL,0,0,1.07,0,NULL
Liquid Latex,NULL,0,0,1,0,NULL
LDP-C-0718,NULL,0,0,3.3158,0,NULL
GCA-2,NULL,0,0,2.2,0,NULL
CDM-4X,NULL,0,0,1,0,NULL
Sanjel Blended Solvent (Bsolv),NULL,0,0,0,0,NULL
Sanjel Blended Acid Systems (S-BAS),NULL,0,0,0,0,NULL
LDP-C-0518,NULL,0,0,1.892,0,NULL
Bulk Barite,Bulk Barite,0,0,4.23,0,1563.3
Bulk Calcium Carbonate (325),Bulk Calcium Carbonate (325),0,0,0,0,NULL
SA-2P,SA-2P,0,0,0,0,NULL
Bulk Ground Silica,Bulk Ground Silica,0,0,1,0,NULL
Bulk Flyash,Bulk Flyash,0,0,0,0,NULL
Bulk Flyash (SK),Bulk Flyash (SK),0,0,0,0,NULL
WWS-5P,WWS-5P,0,0,0,0,NULL
WWS-7P,WWS-7P,0,0,0,0,NULL
MT-2,MT-2 Mud Thinner,0,0,0,0,NULL
DF-6P,DF-6P Powdered Defoamer,0,0,0,0,NULL
CFL-11,CFL-11 Cement Fluid Loss Additive,0,0,0,0,NULL
FWC-3,FWC-3,0,0,0,0,NULL
"MT-1 ",MT-1 Mud Thinner,0,0,0,0,NULL
LCCmix,LCCmix,0,0,0,0,NULL
LCC-9S,LCC-9S,0,0,0,0,NULL
CDF-4P,NULL,0,0,1.612,0,NULL
S-101,NULL,0,0,0.935,0,NULL
CAS-1,NULL,0,0,1.08,0,NULL
FA-3,NULL,0,0,1.04,0,NULL
Water Wet Max + Additives,NULL,0,0,0,0,NULL
