"ID","ROOT_ID","PARENT_ID","BLEND_CHEMICAL_ID","AMOUNT","IS_BASE_BLEND","ADDITION_METHOD","ADDITIVE_BLEND_METHOD","UNIT_NAME","UNIT_ABBR","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME","BLEND_CHEMICAL_NAME"
"37","16","16","41","40","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.7800000","1","2017/9/28 18:10:49.7800000","9999/12/31 23:59:59.9970000","GSS-1"
"38","17","17","84","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.7900000","1","2017/9/28 18:10:49.7900000","9999/12/31 23:59:59.9970000","1:1:0 'G'"
"39","17","17","41","60","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8000000","1","2017/9/28 18:10:49.8000000","9999/12/31 23:59:59.9970000","GSS-1"
"40","18","18","85","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8170000","1","2017/9/28 18:10:49.8130000","9999/12/31 23:59:59.9970000","1:1:0 'G' (Sask)"
"41","18","18","41","60","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8200000","1","2017/9/28 18:10:49.8200000","9999/12/31 23:59:59.9970000","GSS-1"
"42","19","19","84","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8330000","1","2017/9/28 18:10:49.8330000","9999/12/31 23:59:59.9970000","1:1:0 'G'"
"43","19","19","41","80","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8430000","1","2017/9/28 18:10:49.8430000","9999/12/31 23:59:59.9970000","GSS-1"
"44","20","20","85","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8570000","1","2017/9/28 18:10:49.8570000","9999/12/31 23:59:59.9970000","1:1:0 'G' (Sask)"
"45","20","20","41","80","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.8630000","1","2017/9/28 18:10:49.8630000","9999/12/31 23:59:59.9970000","GSS-1"
"46","21","21","78","435","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.8800000","1","2017/9/28 18:10:49.8800000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
"47","21","21","35","565","0","2","1","Percent","%","1","0","","2018/9/28 18:10:49.8870000","1","2017/9/28 18:10:49.8870000","9999/12/31 23:59:59.9970000","Flyash"
"48","22","22","78","392","1","2","1","Percent","%","1","0","","2018/9/28 18:10:49.9000000","1","2017/9/28 18:10:49.9000000","9999/12/31 23:59:59.9970000","0:1:0 'G'"
"49","22","22","36","608","0","2","1","Percent","%","1","0","","2018/9/28 18:10:49.9070000","1","2017/9/28 18:10:49.9070000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"50","23","23","96","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9270000","1","2017/9/28 18:10:49.9270000","9999/12/31 23:59:59.9970000","2:1:0 'G'"
"51","23","23","41","120","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9330000","1","2017/9/28 18:10:49.9330000","9999/12/31 23:59:59.9970000","GSS-1"
"52","24","24","97","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9470000","1","2017/9/28 18:10:49.9470000","9999/12/31 23:59:59.9970000","2:1:0 'G' (Sask)"
"53","24","24","41","120","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9530000","1","2017/9/28 18:10:49.9530000","9999/12/31 23:59:59.9970000","GSS-1"
"54","25","25","96","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9670000","1","2017/9/28 18:10:49.9670000","9999/12/31 23:59:59.9970000","2:1:0 'G'"
"55","25","25","41","20","0","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9770000","1","2017/9/28 18:10:49.9770000","9999/12/31 23:59:59.9970000","GSS-1"
"56","26","26","97","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:49.9930000","1","2017/9/28 18:10:49.9930000","9999/12/31 23:59:59.9970000","2:1:0 'G' (Sask)"
"57","26","26","41","20","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0030000","1","2017/9/28 18:10:50.0030000","9999/12/31 23:59:59.9970000","GSS-1"
"58","27","27","96","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0270000","1","2017/9/28 18:10:50.0270000","9999/12/31 23:59:59.9970000","2:1:0 'G'"
"59","27","27","41","40","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0330000","1","2017/9/28 18:10:50.0330000","9999/12/31 23:59:59.9970000","GSS-1"
"60","28","28","97","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0470000","1","2017/9/28 18:10:50.0470000","9999/12/31 23:59:59.9970000","2:1:0 'G' (Sask)"
"61","28","28","41","40","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0530000","1","2017/9/28 18:10:50.0530000","9999/12/31 23:59:59.9970000","GSS-1"
"62","29","29","96","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0700000","1","2017/9/28 18:10:50.0700000","9999/12/31 23:59:59.9970000","2:1:0 'G'"
"63","29","29","41","60","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0770000","1","2017/9/28 18:10:50.0770000","9999/12/31 23:59:59.9970000","GSS-1"
"64","30","30","97","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.0900000","1","2017/9/28 18:10:50.0900000","9999/12/31 23:59:59.9970000","2:1:0 'G' (Sask)"
"65","30","30","41","60","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.1000000","1","2017/9/28 18:10:50.0970000","9999/12/31 23:59:59.9970000","GSS-1"
"66","31","31","96","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.1130000","1","2017/9/28 18:10:50.1130000","9999/12/31 23:59:59.9970000","2:1:0 'G'"
"67","31","31","41","80","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.1230000","1","2017/9/28 18:10:50.1230000","9999/12/31 23:59:59.9970000","GSS-1"
"68","32","32","97","1000","1","1","1","Percent","%","1","0","","2018/9/28 18:10:50.1400000","1","2017/9/28 18:10:50.1370000","9999/12/31 23:59:59.9970000","2:1:0 'G' (Sask)"
"69","32","32","41","80","0","1","1","Percent","%","1","0","","2018/9/28 18:10:50.1500000","1","2017/9/28 18:10:50.1500000","9999/12/31 23:59:59.9970000","GSS-1"
"70","33","33","3","500","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.1870000","1","2017/9/28 18:10:50.1870000","9999/12/31 23:59:59.9970000","Class G"
"71","33","33","53","125","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.1930000","1","2017/9/28 18:10:50.1930000","9999/12/31 23:59:59.9970000","LCG-2"
"72","33","33","51","375","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2030000","1","2017/9/28 18:10:50.2000000","9999/12/31 23:59:59.9970000","LCG-1"
"73","34","34","3","918","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2200000","1","2017/9/28 18:10:50.2200000","9999/12/31 23:59:59.9970000","Class G"
"74","34","34","41","18","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2270000","1","2017/9/28 18:10:50.2270000","9999/12/31 23:59:59.9970000","GSS-1"
"75","34","34","67","55","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2370000","1","2017/9/28 18:10:50.2330000","9999/12/31 23:59:59.9970000","SCA-1"
"76","34","34","32","9","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.2430000","1","2017/9/28 18:10:50.2430000","9999/12/31 23:59:59.9970000","EA-3"
"77","35","35","3","520","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4670000","1","2017/9/28 18:10:50.4630000","9999/12/31 23:59:59.9970000","Class G"
"78","35","35","35","315","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4730000","1","2017/9/28 18:10:50.4730000","9999/12/31 23:59:59.9970000","Flyash"
"79","35","35","30","100","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4800000","1","2017/9/28 18:10:50.4800000","9999/12/31 23:59:59.9970000","Densified Fume"
"80","35","35","41","21","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4870000","1","2017/9/28 18:10:50.4870000","9999/12/31 23:59:59.9970000","GSS-1"
"81","35","35","67","14","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.4930000","1","2017/9/28 18:10:50.4930000","9999/12/31 23:59:59.9970000","SCA-1"
"82","35","35","31","30","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5000000","1","2017/9/28 18:10:50.5000000","9999/12/31 23:59:59.9970000","EA-1"
"83","36","36","3","520","1","2","1","Percent","%","1","0","","2018/9/28 18:10:54.6930000","1","2017/9/28 18:10:54.6930000","9999/12/31 23:59:59.9970000","Class G"
"84","36","36","36","315","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7000000","1","2017/9/28 18:10:54.7000000","9999/12/31 23:59:59.9970000","Flyash (Sask)"
"85","36","36","30","100","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7070000","1","2017/9/28 18:10:54.7070000","9999/12/31 23:59:59.9970000","Densified Fume"
"86","36","36","41","21","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7170000","1","2017/9/28 18:10:54.7130000","9999/12/31 23:59:59.9970000","GSS-1"
"87","36","36","67","14","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7200000","1","2017/9/28 18:10:54.7200000","9999/12/31 23:59:59.9970000","SCA-1"
"88","36","36","31","30","0","2","1","Percent","%","1","0","","2018/9/28 18:10:54.7270000","1","2017/9/28 18:10:54.7270000","9999/12/31 23:59:59.9970000","EA-1"
"89","37","37","3","530","1","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5170000","1","2017/9/28 18:10:50.5170000","9999/12/31 23:59:59.9970000","Class G"
"90","37","37","35","325","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5230000","1","2017/9/28 18:10:50.5230000","9999/12/31 23:59:59.9970000","Flyash"
"91","37","37","30","100","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5300000","1","2017/9/28 18:10:50.5300000","9999/12/31 23:59:59.9970000","Densified Fume"
"92","37","37","41","21","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5370000","1","2017/9/28 18:10:50.5370000","9999/12/31 23:59:59.9970000","GSS-1"
"93","37","37","67","14","0","2","1","Percent","%","1","0","","2018/9/28 18:10:50.5430000","1","2017/9/28 18:10:50.5430000","9999/12/31 23:59:59.9970000","SCA-1"
