"ID","NAME","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"37","EXPANDOmix PRO LT","1","0","","2018/9/28 18:10:50.5100000","1","2017/9/28 18:10:50.5100000","9999/12/31 23:59:59.9970000"
"38","EXPANDOmix PRO LT (Sask)","1","0","","2018/9/28 18:10:54.7370000","1","2017/9/28 18:10:54.7370000","9999/12/31 23:59:59.9970000"
"39","Expandomix HT","1","0","","2018/9/28 18:10:50.2530000","1","2017/9/28 18:10:50.2530000","9999/12/31 23:59:59.9970000"
"40","Expandomix HT (SK)","1","0","","2018/9/28 18:10:50.3270000","1","2017/9/28 18:10:50.3270000","9999/12/31 23:59:59.9970000"
"41","Expandomix LWL","1","0","","2018/9/28 18:10:50.4070000","1","2017/9/28 18:10:50.4070000","9999/12/31 23:59:59.9970000"
"42","Glacial Mix","1","0","","2018/9/28 18:10:50.5630000","1","2017/9/28 18:10:50.5600000","9999/12/31 23:59:59.9970000"
"43","iBond","1","0","","2018/9/28 18:10:50.6170000","1","2017/9/28 18:10:50.6170000","9999/12/31 23:59:59.9970000"
"44","iGain (SK)","1","0","","2018/9/28 18:10:50.6930000","1","2017/9/28 18:10:50.6930000","9999/12/31 23:59:59.9970000"
"45","iGain (AB)","1","0","","2018/9/28 18:10:50.7370000","1","2017/9/28 18:10:50.7370000","9999/12/31 23:59:59.9970000"
"46","iPrime (AB)","1","0","","2018/9/28 18:10:50.8030000","1","2017/9/28 18:10:50.8030000","9999/12/31 23:59:59.9970000"
"47","iPrime (SK)","1","0","","2018/9/28 18:10:50.8670000","1","2017/9/28 18:10:50.8670000","9999/12/31 23:59:59.9970000"
"48","LCS 1600","1","0","","2018/9/28 18:10:50.9470000","1","2017/9/28 18:10:50.9470000","9999/12/31 23:59:59.9970000"
"49","LCS 1820","1","0","","2018/9/28 18:10:51.0570000","1","2017/9/28 18:10:51.0570000","9999/12/31 23:59:59.9970000"
"50","LITEmix 1325 (AB)","1","0","","2018/9/28 18:10:51.0970000","1","2017/9/28 18:10:51.0970000","9999/12/31 23:59:59.9970000"
"51","LITEmix 1325 (SK)","1","0","","2018/9/28 18:10:51.1570000","1","2017/9/28 18:10:51.1570000","9999/12/31 23:59:59.9970000"
"52","LITEmix 1400 (AB)","1","0","","2018/9/28 18:10:51.2200000","1","2017/9/28 18:10:51.2200000","9999/12/31 23:59:59.9970000"
"53","LITEmix 1400 (SK)","1","0","","2018/9/28 18:10:51.3030000","1","2017/9/28 18:10:51.3030000","9999/12/31 23:59:59.9970000"
"54","LITEmix EC","1","0","","2018/9/28 18:10:51.3930000","1","2017/9/28 18:10:51.3930000","9999/12/31 23:59:59.9970000"
"55","PRODUCTIONmix 1500 PRO ","1","0","","2018/9/28 18:10:51.4070000","1","2017/9/28 18:10:51.4070000","9999/12/31 23:59:59.9970000"
"56","PRODUCTIONmix 1600","1","0","","2018/9/28 18:10:51.4570000","1","2017/9/28 18:10:51.4570000","9999/12/31 23:59:59.9970000"
"57","PRODUCTIONmix 1600 (SK)","1","0","","2018/9/28 18:10:51.5170000","1","2017/9/28 18:10:51.5170000","9999/12/31 23:59:59.9970000"
"58","PRODUCTIONmix 1725","1","0","","2018/9/28 18:10:51.5800000","1","2017/9/28 18:10:51.5800000","9999/12/31 23:59:59.9970000"
"59","PRODUCTIONmix EC","1","0","","2018/9/28 18:10:51.6130000","1","2017/9/28 18:10:51.6130000","9999/12/31 23:59:59.9970000"
"60","PRODUCTIONmix EC (Sask)","1","0","","2018/9/28 18:10:51.6370000","1","2017/9/28 18:10:51.6370000","9999/12/31 23:59:59.9970000"
"61","PRODUCTIONmix LW","1","0","","2018/9/28 18:10:51.6600000","1","2017/9/28 18:10:51.6570000","9999/12/31 23:59:59.9970000"
"62","PRODUCTIONmix LW (Sask)","1","0","","2018/9/28 18:10:51.6930000","1","2017/9/28 18:10:51.6930000","9999/12/31 23:59:59.9970000"
"63","PRODUCTIONmix THX ","1","0","","2018/9/28 18:10:51.7300000","1","2017/9/28 18:10:51.7300000","9999/12/31 23:59:59.9970000"
"64","Proteus Core","1","0","","2018/9/28 18:10:51.8030000","1","2017/9/28 18:10:51.8030000","9999/12/31 23:59:59.9970000"
"65","Proteus LCS","1","0","","2018/9/28 18:10:51.8900000","1","2017/9/28 18:10:51.8900000","9999/12/31 23:59:59.9970000"
"66","Proteus Pro","1","0","","2018/9/28 18:10:51.9530000","1","2017/9/28 18:10:51.9530000","9999/12/31 23:59:59.9970000"
"67","RAS II","1","0","","2018/9/28 18:10:51.9870000","1","2017/9/28 18:10:51.9870000","9999/12/31 23:59:59.9970000"
