"ID","TYPE_INDEX","TYPE_ID","DESCRIPTION","STATUS","VERSION","LAST_MODIFIED_USER_ID","LAST_MODIFIED_USER_NAME","LAST_MODIFIED_DATE_TIME","LAST_OPERATION_TYPE","EFFECTIVE_START_DATE_TIME","EFFECTIVE_END_DATE_TIME"
"285","48","5","RAS II","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"286","49","5","Water","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"287","50","5","SAPP Flush","A","1","1281","mge","2008/7/7 09:12:20.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"289","52","5","Wellseal","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"290","53","5","Visweep","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"291","54","5","Invert Preflush","A","1","1281","mge","2008/7/7 09:13:22.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"292","55","5","Invert Spacer","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"293","56","5","1:1:0 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"294","57","5","1:1:2 'G'","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"295","58","5","Diesel","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"296","59","5","Base Oil","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"297","60","5","Expandomix LWL","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"299","62","5","SSi","A","3","15112","Awang","2017/1/16 00:00:00.0000000","3","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"300","63","5","Dyed H2O","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"301","64","5","10% Formic Acid","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"302","65","5","10% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"303","66","5","15% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"304","67","5","20% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"305","68","5","28% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"306","69","5","34% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"307","70","5","5% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"308","71","5","60% Acetic Acid (HAc)","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"309","72","5","7.5% HCl","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"310","73","5","85% Formic Acid","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"312","76","5","Gel Chem","A","0","0","","2008/3/20 15:21:11.6990000","0","1-01/1/0 00:00:00.00000","9999/12/31 00:00:00.0000000"
"313","77","5","Polymer","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"314","78","5","Potassium Sillicate","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"315","79","5","HT-40","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
"316","80","5","Amodrill","A","1","15112","Awang","2017/8/29 11:22:44.0000000","0","1-01/1/0 00:00:00.00000","2017/8/28 11:22:44.0000000"
