ID,SbsReleasedProductId,ServicePoint,Price,PriceUnit,UnitId
161,IIN023083,D604,5.26,1,l
162,IIN023084,D616,6.24,1,l
163,IIN023085,D600,4.1,1,l
164,IIN023085,D602,4.11,1,l
165,IIN023085,D603,4.1,1,l
166,IIN023085,D604,4.1,1,l
167,IIN023085,D606,4.1,1,l
168,IIN023085,D607,4.1,1,l
169,IIN023085,D612,4.1,1,l
170,IIN023085,D615,4.44,1,l
171,IIN023085,D616,4.1,1,l
172,IIN023085,D617,4.1,1,l
173,IIN023085,D618,4.16,1,l
174,IIN023091,D602,0.1,1,kg
175,IIN023091,D603,0.11,1,kg
176,IIN023091,D604,0.13,1,kg
177,IIN023091,D606,0.11,1,kg
178,IIN023091,D607,0.11,1,kg
179,IIN023091,D612,0.1,1,kg
180,IIN023091,D615,0.16,1,kg
181,IIN023091,D617,0.13,1,kg
182,IIN023099,D602,0.78,1,kg
183,IIN023099,D603,0.76,1,kg
184,IIN023099,D604,0.77,1,kg
185,IIN023099,D606,0.77,1,kg
186,IIN023099,D607,0.77,1,kg
187,IIN023099,D612,0.75,1,kg
188,IIN023099,D615,0.78,1,kg
189,IIN023099,D616,0.75,1,kg
190,IIN023099,D617,0.75,1,kg
191,IIN023100,D603,9.35,1,kg
192,IIN023100,D604,9.69,1,kg
193,IIN023100,D612,9.99,1,kg
194,IIN023101,D612,1.81,1,kg
195,IIN023102,D602,0.3,1,kg
196,IIN023102,D603,0.3,1,kg
197,IIN023102,D604,0.3,1,kg
198,IIN023102,D606,0.3,1,kg
199,IIN023102,D607,0.3,1,kg
200,IIN023102,D612,0.3,1,kg
201,IIN023102,D615,0.33,1,kg
202,IIN023102,D616,0.3,1,kg
203,IIN023102,D617,0.31,1,kg
204,IIN023105,D604,1.54,1,kg
205,IIN023106,D604,3.71,1,l
206,IIN023106,D617,3.71,1,l
207,IIN023109,D604,4.44,1,kg
208,IIN023109,D606,4.46,1,kg
209,IIN023109,D612,4.43,1,kg
210,IIN023112,D616,31.96,1,kg
211,IIN023114,D604,12.32,1,kg
212,IIN023116,D602,199,1,mt
213,IIN023116,D603,216.69,1,mt
214,IIN023116,D604,225.4,1,mt
215,IIN023116,D606,205.47,1,mt
216,IIN023116,D607,205.97,1,mt
217,IIN023116,D612,199.43,1,mt
218,IIN023116,D615,239.26,1,mt
219,IIN023116,D616,217.79,1,mt
220,IIN023116,D617,212.68,1,mt
221,IIN023117,D602,8.53,1,l
