id,name,BulkDensity
362,WG-4P,0
361,WG-3L,0
359,WG-1L,0
357,Sugar,0
348,SCC-2L,0
342,NaCl (Rock Salt),0
339,LCL-7,0
338,LCL-10,0
337,LCG-8,0
335,LCG-12,0
334,LCF-6,0
332,IPG-4,0
318,CFL-2,0
316,CDM-10,0
315,CDF-3L,0
307,BE-1,0
306,B-1008,0
304,ASM-4,0
272,MCR-9L,0
75,WIE-1,349.9
74,SPC-II,1149.8
70,SCA-7,1471.5
69,SCA-6,1031.7
68,SCA-5,419
67,SCA-1,0
64,QSR-2,1163.6
60,MCR-7,1199.4
57,LTR,500.3
55,LCG-5,1471
54,LCG-4,1554
53,LCG-2,972
51,LCG-1,1284
50,LCF-7,90
49,LCC-9,0
48,LCC-1,1070
46,HTR-3A,1028.85
45,HTR-3,0
44,HTR-2,858.1
43,HTR,576
42,Hematite,1963
41,GSS-1,788.1
40,Graphite,0
39,GCA-1,1205.2
38,FWC-2,321.3
37,FS-1,0
32,EA-3,1389
31,EA-1,1305
28,CFR-5,428
27,CFR-2,637
26,CFR,690
25,CFL-8,518
24,CFL-7,743
23,CFL-6,531
22,CFL-4,334
20,CFL-3,582
19,CFL-10,510.15
18,CDM-C,0
15,CDM-6,252.6
14,CDM-5,179
13,CDM-4,0
12,CDM-2,0
10,CDF-6P,483.3
8,CaCl2,765
6,ASM-5,656.9
5,ASM-3,920.45
414,ACW-4,0
419,Liquid Latex,0
415,LDP-C-0718,0
410,GCA-2,0
397,Sanjel Blended Solvent (Bsolv),0
396,Sanjel Blended Acid Systems (S-BAS),0
412,LDP-C-0518,0
7,Bulk Barite,1563.3
345,S-101,0
314,CAS-1,0
424,Bulk Calcium Carbonate (325),0
425,SA-2P,0
413,Bulk Ground Silica,0
426,Bulk Flyash,0
427,Bulk Flyash (SK),0
428,WWS-5P,0
429,WWS-7P,0
430,WIE-2,0
433,MT-2,0
434,DF-6P,0
435,CFL-11,0
436,FWC-3,0
437,LCCmix,0
438,LCC-9S,0
9,CDF-4P,0
423,"MT-1 ",0
21,CFL-3L,0
34,FA-3,0
305,ASM-6,709.3
514,CFR-15,0
517,AWA-2  Anti-wash Agent,0
516,FFA-1 Formation Filming Agent,0
520,D258 (swelling),0
515,D205 - CemFIT Heal* Additive,0
521,Gel,0
400,SURFACEmix LW PRO FSJ,0.97
381,SURFACEmix LW PRO RD,0.97
379,SURFACEmix LW PRO GP,0.97
518,CemFIT Heal* (DN#1),1.15
541,ECOlite X (SK),0.85
539,LITEmix X (SK),0.85
525,"ECOproteus LCS ",1.32
537,PRODUCTIONmix LW X (SK),1.06
533,SUPERLITEmix PRO 5K,0.5302
