Id,NAME,RIG_NO,DRILLINGCOMPANY_ID,DRILLINGCOMPANY_NAME,STATUS,IS_SERVICE_RIG,IS_DELETED,IS_TOP_DRIVE,SIZE_TYPE_VALUE,SIZE_TYPE_UNIT,RIG_SIZE_TYPE_ID,RIG_SIZE_TYPE_NAME,THREAD_TYPE_ID,THREAD_TYPE_NAME,VERSION,LAST_MODIFIED_USER_ID,LAST_MODIFIED_USER_NAME,LAST_MODIFIED_DATE_TIME,LAST_OPERATION_TYPE,EFFECTIVE_START_DATE_TIME,EFFECTIVE_END_DATE_TIME
38,Chinook18,18,30089,Chinook Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
39,Chinook19,19,30089,Chinook Drilling,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
40,Chinook3,3,30089,Chinook Drilling,0,0,0,0,0,,1,,1,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
41,Citadel 2,2,30216,Citadel Drilling Ltd.,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
42,Citadel 1,1,30216,Citadel Drilling Ltd.,0,0,0,0,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
43,Concord 118,118,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
44,Concord 119,119,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
45,Concord 120,120,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
46,Concord 124,124,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
47,Concord 135,135,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
48,Concord 144,144,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
49,Concord 148,148,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
50,Concord 149,149,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
51,Concord 154,154,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
52,Concord 19,19,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
53,Concord 23,23,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
54,Concord 40,40,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
55,Concord 41,41,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
56,Concord 49,49,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
57,Concord 64,64,30012,Concord Well Servicing,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
58,Concord 78,78,30012,Concord Well Servicing,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
59,Crusader 1,1,30183,Crusader Drilling,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
60,Crusader 2,2,30183,Crusader Drilling,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
61,DC 2,2,30188,DC Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
62,Diamond  6,6,30014,Diamond Energy Services,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
63,Eagle  45,45,30093,Eagle Drilling Services Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
64,Eagle 22,22,30093,Eagle Drilling Services Ltd.,0,0,0,0,,,1,,,,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
65,Ensign 141,141,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
66,Ensign 143,143,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
67,Ensign 147,147,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
68,Ensign 148,148,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
69,Ensign 220,220,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
70,Ensign 225,225,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,3,Double,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
71,Ensign 351,351,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
72,Ensign 352,352,30095,Ensign Drilling Inc.,0,0,0,1,114.3,,1,,4,XH,2,15112,Awang,11/27/2017,3,11/27/2017,12/31/9999
