131,195,4,29747,awang,2022-04-06 12:27:34.7470000,2,2022-04-06 12:27:34.7470000,9999-12-31 23:59:59.0000000,0,0,1772,1772 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,71,Grande Prairie,8,1,30
197,196,4,29747,awang,2022-04-06 12:27:35.0270000,2,2022-04-06 12:27:35.0270000,9999-12-31 23:59:59.0000000,0,0,1786,1786 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,65,Lac La Biche,3,1,30
237,197,4,29747,awang,2022-04-06 12:27:35.3000000,2,2022-04-06 12:27:35.3000000,9999-12-31 23:59:59.0000000,0,0,1797,1797 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,72,Estevan,9,1,30
238,198,4,29747,awang,2022-04-06 12:27:35.5670000,2,2022-04-06 12:27:35.5670000,9999-12-31 23:59:59.0000000,0,0,1814,1814 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,67,Edmonton,5,1,30
155,199,4,29747,awang,2022-04-06 12:27:35.8370000,2,2022-04-06 12:27:35.8370000,9999-12-31 23:59:59.0000000,0,0,1815,1815 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,67,Edmonton,5,1,30
239,200,4,29747,awang,2022-04-06 12:27:36.0970000,2,2022-04-06 12:27:36.0970000,9999-12-31 23:59:59.0000000,0,0,1816,1816 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,85,Red Deer,11,1,30
271,201,4,29747,awang,2022-04-06 12:27:36.3730000,2,2022-04-06 12:27:36.3730000,9999-12-31 23:59:59.0000000,0,0,1817,1817 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,72,Estevan,9,1,30
240,202,4,29747,awang,2022-04-06 12:27:36.6400000,2,2022-04-06 12:27:36.6400000,9999-12-31 23:59:59.0000000,0,0,1818,1818 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,67,Edmonton,5,1,30
132,203,4,29747,awang,2022-04-06 12:27:36.9200000,2,2022-04-06 12:27:36.9200000,9999-12-31 23:59:59.0000000,0,0,1819,1819 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,67,Edmonton,5,1,30
241,204,4,29747,awang,2022-04-06 12:27:37.2000000,2,2022-04-06 12:27:37.2000000,9999-12-31 23:59:59.0000000,0,0,1820,1820 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,70,Swift Current,7,1,30
133,205,4,29747,awang,2022-04-06 12:27:37.4630000,2,2022-04-06 12:27:37.4630000,9999-12-31 23:59:59.0000000,0,0,1821,1821 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,71,Grande Prairie,8,1,30
156,206,4,29747,awang,2022-04-06 12:27:37.7370000,2,2022-04-06 12:27:37.7370000,9999-12-31 23:59:59.0000000,0,0,1822,1822 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,66,Fort St. John,4,1,30
284,207,4,29747,awang,2022-04-06 12:27:38.0130000,2,2022-04-06 12:27:38.0130000,9999-12-31 23:59:59.0000000,0,0,1824,1824 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,88,Kindersley,12,1,30
242,208,4,29747,awang,2022-04-06 12:27:38.2730000,2,2022-04-06 12:27:38.2730000,9999-12-31 23:59:59.0000000,0,0,1825,1825 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,85,Red Deer,11,1,30
157,209,4,29747,awang,2022-04-06 12:27:38.5300000,2,2022-04-06 12:27:38.5300000,9999-12-31 23:59:59.0000000,0,0,1827,1827 Bin - P -Tank,4,NULL,Bin - P -Tank,BIN_PTANK,7,71,Grande Prairie,8,1,30
