id,name,Yield,Density,BulkDensity,MixWater,SpecificGravity,Bulk Density (T/m3)
403,SUPERLITEmix 1160 C,1.862,1160,0,1.234,1.593,0.000
404,SUPERLITEmix 1160 C + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
406,PRODUCTIONmix HZ,1.205,1494,0,0.8,2.4691358,0.000
407,PRODUCTIONmix HZ + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
408,Ciment Fondue EC,1.017,1650,0,0.679,1.593,0.000
409,Ciment Fondue EC + Additives,NULL,NULL,NULL,NULL,NULL,#VALUE!
410,GCA-2,0,0,0,0,2.2,0.000
411,Visweep DM IS,4.347,1125,NULL,0,2.19,#VALUE!
412,LDP-C-0518,0,0,0,0,1.892,0.000
413,Bulk Ground Silica,0,0,0,0,2.63,0.000
414,ACW-4,0,0,0,0,99999,0.000
415,LDP-C-0718,0,0,0,0,3.3158,0.000
416,LITEmix PRO,1.895,1340,0,1.54,2.81690141,0.000
417,LITEmix PRO + Additives,0,0,NULL,0,0,#VALUE!
418,Visweep DM IS + Additives,0,0,NULL,1,0,#VALUE!
419,Liquid Latex,0,0,0,0,1,0.000
420,Visweep DM,0,0,NULL,0,1.06,#VALUE!
421,Wellseal PRO,1,1000,NULL,1,1,#VALUE!
422,Visweep DM + Additives,0,0,NULL,0,0,#VALUE!
423,MT-1 ,0,0,0,0,2.31,0.000
424,Bulk Calcium Carbonate (325),0,0,0,0,2.7644,0.000
425,SA-2P,0,0,0,0,1.7411,0.000
426,Bulk Flyash,0,0,0,0,2.1,0.000
427,Bulk Flyash (SK),0,0,0,0,2.44,0.000
428,WWS-5P,0,0,0,0,0,0.000
429,WWS-7P,0,0,0,0,2.0198,0.000
430,WIE-2,0,0,0,0,2.5,0.000
431,SanSeal Thermal,1.01,1650,0,0.666,0,0.000
432,SanSeal Thermal + Additives,0,1650,0,0,0,0.000
433,MT-2,0,0,0,0,1.9583,0.000
434,DF-6P,0,0,0,0,1.6951,0.000
435,CFL-11,0,0,0,0,1.44,0.000
436,FWC-3,0,0,0,0,2.2,0.000
437,LCCmix,0,0,0,0,0,0.000
438,LCC-9S,0,0,0,0,0,0.000
439,LDP-C-0119,1.672,1350,0,1.257,2.41,0.000
440,Preblended Gypsum/CDM-4,0,0,0,0,0,0.000
441,LITEmix PRO RD,1.919,1300,978,1.495,2.358,0.978
442,LITEmix PRO RD + Additives,0,0,NULL,0,0,#VALUE!
443,REMEDIALmix EC,0.867,1720,1290,0.492,2.664,1.290
444,REMEDIALmix EC + Additives,0,0,NULL,0,0,#VALUE!
445,GROUTmix 1300,1.95,1300,995,1.535,2.41,0.995
446,GROUTmix 1300 + Additives,0,0,0,0,0,0.000
447,D270 Fulcrum*,0,0,0,0,0.915,0.000
448,REMEDIALmix EC (SK),0.895,1720,1350,0.54,2.814,1.350
449,REMEDIALmix EC (SK) + Additives,0,0,0,0,0,0.000
450,Bio-10B,0,0,0,0,99999,0.000
451,SURFACEmix LW PRO EST,1.204,1550,1032,0.866,2.96,1.032
452,SURFACEmix LW PRO EST + Additives,0,0,0,0,0,0.000
453,Water Based Mud,0,0,NULL,0,0,#VALUE!
454,Water Based Mud + Additives,0,0,NULL,0,0,#VALUE!
455,Invert,0,0,NULL,1,0,#VALUE!
456,Oil Based Mud,0,0,NULL,1,0,#VALUE!
457,KCl Water,0,0,NULL,1,0,#VALUE!
458,Produced Water,0,0,NULL,1,0,#VALUE!
459,Brine,0,0,NULL,1,0,#VALUE!
460,Invert + Additives,0,0,NULL,0,0,#VALUE!
461,Oil Based Mud + Additives,0,0,NULL,0,0,#VALUE!
462,KCl Water + Additives,0,0,NULL,0,0,#VALUE!
463,Produced Water + Additives,0,0,NULL,0,0,#VALUE!
464,Brine + Additives,0,0,NULL,0,0,#VALUE!
465,iPrime GP,1.239,1500,1190,0.858,2.628,1.190
466,iPrime GP + Additives,0,0,0,0,0,0.000
467,Inhibited Water,0,0,NULL,1,0,#VALUE!
468,Inhibited Water + Additives,0,0,NULL,0,0,#VALUE!
469,iPrime NW,1.239,1500,1190,0.858,2.628,1.190
470,iPrime NW + Additives,0,0,0,0,0,0.000
471,FFA-2,0,0,0,0,1.85,0.000
472,GROUTmix 1500,1.261,1500,1210,0.891,2.706,1.210
473,GROUTmix 1750,0.833,1750,1290,0.457,2.664,1.290
474,GROUTmix 1750 + Additives,0,0,0,0,0,0.000
475,GROUTmix 1500 + Additives,0,0,0,0,0,0.000
476,D273 Fulcrum*,0,0,0,0,0.915,0.000
477,GROUTmix ARC,0.876,1750,1410,0.533,2.916,1.410
478,GROUTmix ARC + Additives,0,0,0,0,0,0.000
479,F104 Surfactant,0,0,0,0,0,0.000
480,D139 Foam Stabilizer,0,0,0,0,99999,0.000
481,ECObase Cement,0.896,1750,1410,0.568,3.05,1.410
482,ECObase Cement + Additives,0,0,0,0,0,0.000
483,ECOprime,1.141,1550,1110,0.769,2.686,1.110
484,ECOprime + Additives,0,0,NULL,0,0,#VALUE!
485,ECOprime SK,1.177,1550,1160,0.825,2.837,1.160
486,ECOprime SK + Additives,0,0,0,0,0,0.000
487,ECObond,0.859,1780,1240,0.529,3.029,1.240
488,ECObond + Additives,0,0,0,0,0,0.000
489,ECOproteus CORE,0.795,1830,1330,0.455,2.941,1.330
490,ECOproteus CORE + Additives,0,0,0,0,0,0.000
491,ECOproteus PRO,0.88,1750,1330,0.539,2.939,1.330
492,ECOproteus PRO + Additives,0,0,0,0,0,0.000
493,ECOlite 1325,1.909,1325,1110,1.529,2.633,1.110
494,ECOlite 1325 + Additives,0,0,0,0,0,0.000
495,ECOlite 1325 SK,1.965,1325,1050,1.603,2.767,1.050
496,ECOlite 1325 SK + Additives,0,0,0,0,0,0.000
497,ECOlite 1400,1.553,1400,1120,1.175,2.641,1.120
498,ECOlite 1400 + Additives,0,0,0,0,0,0.000
499,ECOlite 1400 SK,1.603,1400,1130,1.244,2.787,1.130
500,ECOlite 1400 SK + Additives,0,0,0,0,0,0.000
501,ECOlite PRO,1.929,1340,1200,1.584,2.905,1.200
502,ECOlite PRO + Additives,0,0,0,0,0,0.000
503,ECOsuperlite 1100,1.711,1100,500,0.882,1.206,0.500
504,ECOsuperlite 1100 + Additives,0,0,0,0,0,0.000
505,ECOgrout,0.896,1750,1410,0.568,3.05,1.410
506,ECOgrout + Additives,0,0,0,0,0,0.000
507,ECOgrout 1300,1.97,1300,1100,1.561,2.445,1.100
508,ECOgrout 1300 + Additives,0,0,0,0,0,0.000
509,ECOcem,0.896,1750,1410,0.568,3.05,1.410
510,CemFIT Heal*,0.762,1800,1150,0.372,2.619,1.150
511,CemFIT Heal* + Additives,0,0,0,0,0,0.000
512,Nanosealant*,1,1200,0,1,1,0.000
514,CFR-15,0,0,0,0,1.0827,0.000
515,D205 - CemFIT Heal* Additive,0,0,0,0,0.97,0.000
516,FFA-1 Formation Filming Agent,0,0,0,0,1.85,0.000
517,AWA-2  Anti-wash Agent,0,0,0,0,0,0.000
518,CemFIT Heal* (DN#1),0.771,1800,1150,0.388,2.611,1.150
519,CemFIT Heal* (DN#1) + Additives,0,0,0,0,0,0.000
520,D258 (swelling),0,0,0,0,1.17,0.000
521,Gel,0,0,0,0,2.542,0.000
522,SA-3P,0,0,0,0,1.776,0.000
523,THERMAmix SLW 5K,1.204,1350,0,0.625,1.728,0.000
524,THERMAmix SLW 5K + Additives,0,0,0,0,0,0.000
525,ECOproteus LCS ,0.851,1775,1320,0.51,2.935,1.320
526,ECOproteus LCS + Additives,0,0,0,0,0,0.000
527,SURFACEmix PRO X,0.981,1700,1220,0.668,3.192,1.220
528,SURFACEmix PRO X + Additives,0,0,0,0,0,0.000
529,SURFACEmix LW PRO X,1.067,1600,1026,0.707,2.778,1.026
530,SURFACEmix LW PRO X + Additives,0,0,0,0,0,0.000
531,SURFACEmix LW PRO (SK) X,1.097,1600,1060,0.756,2.928,1.060
532,SURFACEmix LW PRO (SK) X + Additives,0,0,0,0,0,0.000
533,SUPERLITEmix PRO 5K,1.512,1200,530,0.814,1.433,0.530
534,SUPERLITEmix PRO 5K + Additives,0,0,0,0,0,0.000
537,PRODUCTIONmix LW X (SK),1.097,1600,1060,0.756,2.928,1.060
538,PRODUCTIONmix LW X (SK) + Additives,0,0,0,0,0,0.000
539,LITEmix X (SK),1.439,1450,850,1.086,2.836,0.850
540,LITEmix X (SK) + Additives,0,0,0,0,0,0.000
541,ECOlite X (SK),1.598,1400,850,1.237,2.772,0.850
542,ECOlite X (SK) + Additives,0,0,0,0,0,0.000
543,SUPERLITEmix 1160 5K,2.137,1160,0,1.479,1.52,0.000
544,SUPERLITEmix 1160 5K + Additives,0,0,0,0,0,0.000
545,PRODUCTIONmix LW X,1.113,1575,1026,0.753,2.778,1.026
546,PRODUCTIONmix LW X + Additives,0,0,0,0,0,0.000
547,ECOlite 1400 X,1.581,1400,0,1.213,2.72,0.000
548,ECOlite 1400 X + Additives,0,0,0,0,0,0.000
549,GROUTmix EXP,0.886,1770,0,0.568,3.147,0.000
550,GROUTmix EXP + Additives,0,0,0,0,0,0.000
551,MUS 10,0,0,0,0,0,0.000
552,ECOset Surface,0.896,1750,1410,0.568,3.05,1.410
554,ECOset Thermal,0.795,1830,1330,0.455,2.941,1.330
555,ECOset Thermal + Additives,0,0,0,0,0,0.000
556,THERMAmix PRO Intermediate,0.918,1700,1100,0.56,2.795,1.100
557,THERMAmix PRO Intermediate + Additives,0,0,0,0,0,0.000
558,THERMAmix PRO Liner,0.918,1700,1100,0.56,2.795,1.100
559,THERMAmix PRO Liner + Additives,0,0,0,0,0,0.000
560,THERMAmix PRO Surface,0.918,1700,1100,0.56,2.795,1.100
561,THERMAmix PRO Surface + Additives,0,0,0,0,0,0.000
562,GROUTmix PRO,1.647,1400,0,1.306,2.931,0.000
563,GROUTmix PRO + Additives,0,0,0,0,0,0.000
564,EverCRETE*,0,0,0,0,0,0.000
565,EverCRETE* + Additives,0,0,0,0,0,0.000
